name1	name2	module
DDX17	SF3A3	5
DDX17	EIF4A3	5
DDX17	SRSF3	5
DDX17	DKC1	5
DDX17	RBM15	5
DDX17	FMR1	5
DDX17	MAGOH	5
DDX17	STAU1	5
DDX17	HNRNPH3	5
DDX17	FTSJ3	5
DDX17	NHP2	5
DDX17	GIGYF1	5
DDX17	RBM4	5
DDX17	PWP1	5
DDX17	PHF5A	5
DDX17	DHX30	5
DDX17	KHSRP	5
DDX17	DHX36	5
DDX17	WBP11	5
DDX17	SNW1	5
DDX17	MARS	5
DDX17	FXR1	5
DDX17	EIF3B	5
DDX17	TAF15	5
DDX17	SNRPB	5
DDX17	DHX57	5
DDX17	SRRT	5
DDX17	SNRPD1	5
DDX17	SF3A1	5
DDX17	SNRPD3	5
DDX17	EFTUD2	5
DDX17	SF3A2	5
DDX17	RBM14	5
DDX17	PABPC1	5
DDX17	SKIV2L2	5
DDX17	HNRNPR	5
DDX17	NCBP1	5
DDX17	SKIV2L	5
DDX17	GNL3	5
DDX17	RBM47	5
DDX17	NOP2	5
DDX17	HNRNPUL1	5
DDX17	HNRNPA3	5
DDX17	DDX39B	5
DDX17	HNRNPH1	5
DDX17	RNPS1	5
DDX17	YTHDF3	5
DDX17	TRMT1	5
DDX17	IK	5
DDX17	HTATSF1	5
DDX17	TRA2B	5
DDX17	DDX23	5
DDX17	FUS	5
DDX17	PRPF40A	5
DDX17	SMU1	5
DDX17	PRPF8	5
DDX17	DDX49	5
DDX17	HNRNPUL2	5
DDX17	U2AF2	5
DDX17	LSM1	5
DDX17	RBM39	5
DDX17	HNRNPM	5
DDX17	RBM10	5
DDX17	DDX56	5
DDX17	SNRPD2	5
DDX17	SRSF6	5
DDX17	SNRPC	5
DDX17	RALY	5
DDX17	IMPDH2	5
DDX17	DHX29	5
